family,bases,count_fr3d_RS,family_id,yaw1_min,yaw1_max,pitch1_min,pitch1_max,roll1_min,roll1_max,yaw2_min,yaw2_max,pitch2_min,pitch2_max,roll2_min,roll2_max,coplanarity_angle_min,coplanarity_angle_max,coplanarity_edge_angle1_min,coplanarity_edge_angle1_max,coplanarity_edge_angle2_min,coplanarity_edge_angle2_max,coplanarity_shift1_min,coplanarity_shift1_max,coplanarity_shift2_min,coplanarity_shift2_max,hb_0_acceptor_angle_min,hb_0_acceptor_angle_max,hb_1_acceptor_angle_min,hb_1_acceptor_angle_max,hb_2_acceptor_angle_min,hb_2_acceptor_angle_max,hb_0_donor_angle_min,hb_0_donor_angle_max,hb_1_donor_angle_min,hb_1_donor_angle_max,hb_2_donor_angle_min,hb_2_donor_angle_max,hb_0_length_max,hb_1_length_max,hb_2_length_max,min_bond_length_max,hb_0_OOPA1_min,hb_0_OOPA1_max,hb_0_OOPA2_min,hb_0_OOPA2_max,hb_1_OOPA1_min,hb_1_OOPA1_max,hb_1_OOPA2_min,hb_1_OOPA2_max,hb_2_OOPA1_min,hb_2_OOPA1_max,hb_2_OOPA2_min,hb_2_OOPA2_max
cWw,A-A,110,1,35,125,-45,45,120,-120,35,125,-45,45,120,-120,125,180,-45,45,-45,45,-2.0,2.0,-2.0,2.0,70,180,70,180,,,70,180,70,180,,,4.0,4.8,,3.8,-60,60,-60,60,-60,60,-60,60,,,,
cWW,A-C,159,1,35,125,-45,45,120,-120,35,125,-45,45,120,-120,125,180,-45,45,-45,45,-2.0,2.0,-2.0,2.0,70,180,70,180,,,70,180,70,180,,,4.2,4.2,,3.8,-60,60,-60,60,-60,60,-60,60,,,,
cWW,A-G,803,1,35,125,-45,45,120,-120,35,125,-45,45,120,-120,125,180,-45,45,-45,45,-2.0,2.0,-2.0,2.0,70,180,70,180,,,70,180,70,180,,,4.4,4.0,,3.8,-60,60,-60,60,-60,60,-60,60,,,,
cWW,A-U,28382,1,35,125,-45,45,120,-120,35,125,-45,45,120,-120,125,180,-45,45,-45,45,-2.0,2.0,-2.0,2.0,70,180,70,180,70,180,70,180,70,180,100,180,4.6,4.0,4.8,3.8,-60,60,-60,60,-60,60,-60,60,-60,60,-60,60
cWw,C-C,32,1,5,95,-45,45,120,-120,5,95,-45,45,120,-120,125,180,-45,45,-45,45,-2.0,2.0,-2.0,2.0,70,180,70,180,,,70,180,70,180,,,4.4,4.0,,3.8,-60,60,-60,60,-60,60,-60,60,,,,
cWW,C-U,240,1,35,125,-45,45,120,-120,35,125,-45,45,120,-120,125,180,-45,45,-45,45,-2.0,2.0,-2.0,2.0,70,180,70,180,,,70,180,50,180,,,4.4,4.8,,3.8,-60,60,-60,60,-60,60,-60,60,,,,
cWW,G-C,56661,1,35,125,-45,45,120,-120,35,125,-45,45,120,-120,125,180,-45,45,-45,45,-2.0,2.0,-2.0,2.0,70,180,70,180,70,180,60,160,70,150,60,180,4.4,4.0,4.4,3.8,-60,60,-60,60,-60,60,-60,60,-80,80,-80,80
cWw,G-G,23,1,35,125,-45,45,120,-120,35,125,-45,45,120,-120,125,180,-45,45,-45,45,-2.0,2.0,-2.0,2.0,70,180,70,180,,,70,180,70,180,,,4.0,4.2,,3.8,-60,60,-60,60,-60,60,-60,60,,,,
cWW,G-U,5587,1,35,125,-45,45,120,-120,35,125,-45,45,120,-120,125,180,-45,45,-45,45,-2.0,2.0,-2.0,2.0,70,180,70,180,,,70,180,70,180,,,4.2,4.4,,3.8,-60,60,-60,60,-60,60,-60,60,,,,
cWWa,G-U,50,1,35,125,-45,45,120,-120,35,125,-45,45,120,-120,125,180,-45,45,-45,45,-2.0,2.0,-2.0,2.0,70,180,70,180,,,70,180,70,180,,,4.2,4.2,,3.8,-60,60,-60,60,-60,60,-60,60,,,,
cWw,U-U,737,1,35,125,-45,45,120,-120,35,125,-45,45,120,-120,125,180,-45,45,-45,45,-2.0,2.0,-2.0,2.0,70,180,70,180,,,70,180,70,180,,,4.2,4.4,,3.8,-60,60,-60,60,-60,60,-60,60,,,,
tWW,A-A,331,2,-45,45,-45,45,-60,60,-45,45,-45,45,-60,60,0,65,-45,45,-45,45,-2.0,2.0,-2.0,2.0,70,180,70,180,,,70,180,70,180,,,4.2,4.4,,3.8,-60,60,-60,60,-60,60,-60,60,,,,
tWW,A-C,40,2,-25,65,-45,45,-60,60,-65,25,-45,45,-60,60,0,65,-45,45,-45,45,-2.0,2.0,-2.0,2.0,70,180,70,180,,,70,180,70,180,,,4.2,4.2,,3.8,-60,60,-60,60,-60,60,-60,60,,,,
tWW,A-U,221,2,-25,65,-45,45,-60,60,-65,25,-45,45,-60,60,0,65,-45,45,-45,45,-2.0,2.0,-2.0,2.0,70,180,70,180,70,180,70,180,70,180,100,180,4.0,4.0,4.8,3.8,-60,60,-60,60,-60,60,-60,60,-60,60,-60,60
tWW,C-C,7,2,-45,45,-45,45,-60,60,-45,45,-45,45,-60,60,0,65,-45,45,-45,45,-2.0,2.0,-2.0,2.0,70,180,70,180,,,70,180,70,180,,,4.2,4.2,,3.8,-60,60,-60,60,-60,60,-60,60,,,,
tWWa,C-C,18,2,-45,45,-45,45,-60,60,-45,45,-45,45,-60,60,0,65,-45,45,-45,45,-2.0,2.0,-2.0,2.0,70,180,70,180,,,70,180,70,180,,,4.2,4.2,,3.8,-60,60,-60,60,-60,60,-60,60,,,,
tWW,C-U,16,2,-45,45,-45,45,-60,60,-45,45,-45,45,-60,60,0,65,-45,45,-45,45,-2.0,2.0,-2.0,2.0,70,180,70,180,,,70,180,70,180,,,4.0,4.2,,3.8,-60,60,-60,60,-60,60,-60,60,,,,
tWW,G-C,110,2,-25,65,-45,45,-60,60,-65,25,-45,45,-60,60,0,65,-45,45,-45,45,-2.0,2.0,-2.0,2.0,70,180,70,180,,,70,180,70,180,,,4.2,4.0,,3.8,-60,60,-60,60,-60,60,-60,60,,,,
tWW,G-G,30,2,-45,45,-45,45,-60,60,-45,45,-45,45,-60,60,0,65,-45,45,-45,45,-2.0,2.0,-2.0,2.0,70,180,70,180,,,70,180,70,180,,,4.2,4.2,,3.8,-60,60,-60,60,-60,60,-60,60,,,,
tWW,G-U,16,2,-25,65,-45,45,-60,60,-65,25,-45,45,-60,60,0,65,-45,45,-45,45,-2.0,2.0,-2.0,2.0,70,180,70,180,,,70,180,70,180,,,4.2,4.0,,3.8,-60,60,-60,60,-60,60,-60,60,,,,
tWW,U-U,10,2,-45,45,-45,45,-60,60,-45,45,-45,45,-60,60,0,65,-45,45,-45,45,-2.0,2.0,-2.0,2.0,70,180,70,180,,,70,180,70,180,,,4.0,4.0,,3.8,-60,60,-60,60,-60,60,-60,60,,,,
tWWa,U-U,82,2,-45,45,-45,45,-60,60,-45,45,-45,45,-60,60,0,65,-45,45,-45,45,-2.0,2.0,-2.0,2.0,70,180,70,180,,,70,180,70,180,,,4.0,4.0,,3.8,-60,60,-60,60,-60,60,-60,60,,,,
cWH,A-G,15,3,-135,-45,-45,45,-60,60,45,135,-45,45,-60,60,0,65,-45,45,-45,45,-2.0,2.0,-2.0,2.0,70,180,70,180,,,70,180,70,180,,,4.0,4.0,,3.8,-60,60,-60,60,-60,60,-60,60,,,,
cWH,A-U,0,3,-135,-45,-45,45,-60,60,45,135,-45,45,-60,60,0,65,-45,45,-45,45,-2.0,2.0,-2.0,2.0,70,180,70,180,,,70,180,70,180,,,4.2,4.2,,3.8,-60,60,-60,60,-60,60,-60,60,,,,
cWH,C-C,8,3,-135,-45,-45,45,-60,60,45,135,-45,45,-60,60,0,65,-45,45,-45,45,-1.7,1.7,-1.7,1.7,70,150,70,150,,,70,180,70,180,,,4.0,4.2,,3.8,-45,45,-45,45,-45,40,-45,45,,,,
cWH,C-G,12,3,-155,-65,-45,45,-60,60,65,155,-45,45,-60,60,0,65,-45,45,-45,45,-2.0,2.0,-2.0,2.0,70,180,70,180,,,70,180,70,180,,,4.2,4.2,,3.8,-60,60,-60,60,-60,60,-60,60,,,,
cWH,C-U,1,3,-135,-45,-45,45,-60,60,45,135,-45,45,-60,60,0,65,-45,45,-45,45,-2.0,2.0,-2.0,2.0,70,180,70,180,,,70,180,70,180,,,4.0,4.8,,3.8,-60,60,-60,60,-60,60,-60,60,,,,
cWH,G-A,21,3,-125,-35,-45,45,-60,60,35,125,-45,45,-60,60,0,65,-45,45,-45,45,-2.0,2.0,-2.0,2.0,70,180,70,180,,,70,180,70,180,,,4.0,4.2,,3.8,-60,60,-60,60,-60,60,-60,60,,,,
cWH,G-G,781,3,-135,-45,-45,45,-60,60,45,135,-45,45,-60,60,0,65,-45,45,-45,45,-2.0,2.0,-2.0,2.0,70,180,70,180,,,70,180,70,180,,,4.0,4.2,,3.8,-60,60,-60,60,-60,60,-60,60,,,,
cWH,U-A,374,3,-155,-65,-45,45,-60,60,65,155,-45,45,-60,60,0,65,-45,45,-45,45,-2.0,2.0,-2.0,2.0,70,180,70,180,70,180,70,180,70,180,100,180,4.4,4.0,4.8,3.8,-60,60,-60,60,-60,60,-60,60,-60,60,-60,60
cWH,U-G,75,3,-165,-75,-45,45,-60,60,75,165,-45,45,-60,60,0,65,-45,45,-45,45,-2.0,2.0,-2.0,2.0,70,180,70,180,,,70,180,70,180,,,4.2,4.8,,3.8,-60,60,-60,60,-60,60,-60,60,,,,
cWH,U-U,26,3,-145,-55,-45,45,-60,60,55,145,-45,45,-60,60,0,65,-45,45,-45,45,-2.0,2.0,-2.0,2.0,70,180,70,180,,,70,180,70,180,,,4.0,4.8,,3.8,-60,60,-60,60,-60,60,-60,60,,,,
tWH,A-A,310,4,135,-135,-60,60,120,-120,135,-135,-60,60,120,-120,125,180,-45,45,-45,45,-2.0,2.0,-2.0,2.0,70,180,70,180,,,70,180,70,180,,,4.2,4.0,,3.8,-60,60,-60,60,-60,60,-60,60,,,,
tWH,A-G,14,4,135,-135,-60,60,120,-120,135,-135,-60,60,120,-120,125,180,-45,45,-45,45,-2.0,2.0,-2.0,2.0,70,180,70,180,,,70,180,70,180,,,4.2,4.0,,3.8,-60,60,-60,60,-60,60,-60,60,,,,
tWH,C-A,320,4,135,-135,-60,60,120,-120,135,-135,-60,60,120,-120,125,180,-45,45,-45,45,-2.0,2.0,-2.0,2.0,70,180,70,180,,,70,180,70,180,,,4.2,4.0,,3.8,-60,60,-60,60,-60,60,-60,60,,,,
tWH,C-C,9,4,135,-135,-60,60,120,-120,135,-135,-60,60,120,-120,125,180,-45,45,-45,45,-2.0,2.0,-2.0,2.0,70,180,70,180,,,70,180,70,180,,,4.8,4.0,,3.8,-60,60,-60,60,-60,60,-60,60,,,,
tWH,C-G,13,4,135,-135,-60,60,120,-120,135,-135,-60,60,120,-120,125,180,-45,45,-45,45,-2.0,2.0,-2.0,2.0,70,180,70,180,,,70,180,70,180,,,4.0,4.0,,3.8,-60,60,-60,60,-60,60,-60,60,,,,
tWH,G-G,120,4,135,-135,-60,60,120,-120,135,-135,-60,60,120,-120,125,180,-45,45,-45,45,-2.0,2.0,-2.0,2.0,70,180,70,180,,,70,180,70,180,,,4.0,4.2,,3.8,-60,60,-60,60,-60,60,-60,60,,,,
tWH,G-U,3,4,135,-135,-60,60,120,-120,135,-135,-60,60,120,-120,125,180,-45,45,-45,45,-2.0,2.0,-2.0,2.0,70,180,70,180,,,70,180,70,180,,,4.2,4.0,,3.8,-60,60,-60,60,-60,60,-60,60,,,,
tWH,U-A,2078,4,135,-135,-60,60,120,-120,135,-135,-60,60,120,-120,125,180,-45,45,-45,45,-2.0,2.0,-2.0,2.0,70,180,70,180,,,70,180,70,180,,,4.0,4.2,,3.8,-60,60,-60,60,-60,60,-60,60,,,,
tWH,U-G,1,4,135,-135,-60,60,120,-120,135,-135,-60,60,120,-120,125,180,-45,45,-45,45,-2.0,2.0,-2.0,2.0,70,180,70,180,,,70,180,70,180,,,4.2,4.0,,3.8,-60,60,-60,60,-60,60,-60,60,,,,
tWH,U-U,65,4,135,-135,-60,60,120,-120,135,-135,-60,60,120,-120,125,180,-45,45,-45,45,-2.0,2.0,-2.0,2.0,70,180,70,180,,,70,180,70,180,,,4.8,4.0,,3.8,-60,60,-60,60,-60,60,-60,60,,,,
cWS,A-A,223,5,-25,65,-60,60,120,-120,-25,65,-60,60,120,-120,115,180,-60,60,-60,60,-2.0,2.0,-2.0,2.0,100,180,70,180,,,100,180,70,180,,,4.2,4.0,,3.8,-60,60,-60,60,-60,60,-60,60,,,,
cWS,A-C,353,5,-25,65,-60,60,120,-120,-25,65,-60,60,120,-120,115,180,-60,60,-60,60,-2.0,2.0,-2.0,2.0,100,180,70,180,,,70,180,70,180,,,4.2,4.0,,3.8,-60,60,-60,60,-60,60,-60,60,,,,
cWS,A-G,76,5,-25,65,-60,60,120,-120,-25,65,-60,60,120,-120,115,180,-60,60,-60,60,-2.0,2.0,-2.0,2.0,100,180,70,180,,,100,180,70,180,,,4.0,4.0,,3.8,-60,60,-60,60,-80,40,-80,40,,,,
cWS,A-U,96,5,-25,65,-60,60,120,-120,-25,65,-60,60,120,-120,115,180,-60,60,-60,60,-2.0,2.0,-2.0,2.0,100,180,70,180,,,70,180,70,180,,,4.2,4.0,,3.8,-60,60,-60,60,-60,60,-60,60,,,,
cWS,C-A,91,5,-25,65,-60,60,120,-120,-25,65,-60,60,120,-120,115,180,-60,60,-60,60,-2.0,2.0,-2.0,2.0,100,180,70,180,,,100,180,70,180,,,4.2,4.0,,3.8,-60,60,-60,60,-60,60,-60,60,,,,
cWS,C-C,133,5,-25,65,-60,60,120,-120,-25,65,-60,60,120,-120,115,180,-60,60,-60,60,-2.0,2.0,-2.0,2.0,100,180,70,180,,,70,180,70,180,,,4.0,4.0,,3.8,-60,60,-60,60,-60,60,-80,40,,,,
cWS,C-G,32,5,-25,65,-60,60,120,-120,-25,65,-60,60,120,-120,115,180,-60,60,-60,60,-2.0,2.0,-2.0,2.0,100,180,70,180,,,100,180,70,180,,,4.2,4.0,,3.8,-60,60,-60,60,-60,60,-80,40,,,,
cWS,C-U,59,5,-25,65,-60,60,120,-120,-25,65,-60,60,120,-120,115,180,-60,60,-60,60,-2.0,2.0,-2.0,2.0,100,180,70,180,,,70,180,70,180,,,4.2,4.0,,3.8,-60,60,-60,60,-60,60,-60,60,,,,
cWS,G-A,10,5,-25,65,-60,60,120,-120,-25,65,-60,60,120,-120,115,180,-60,60,-60,60,-2.0,2.0,-2.0,2.0,70,180,100,180,70,180,70,180,70,180,70,180,4.8,4.2,4.2,3.8,-60,60,-60,60,-60,60,-60,60,-60,60,-40,80
cWS,G-C,60,5,-25,65,-60,60,120,-120,-25,65,-60,60,120,-120,115,180,-60,60,-60,60,-2.0,2.0,-2.0,2.0,100,180,70,180,,,100,180,100,180,,,4.0,4.2,,3.8,-60,60,-60,60,-60,60,-40,80,,,,
cWS,G-G,28,5,-25,65,-60,60,120,-120,-25,65,-60,60,120,-120,115,180,-60,60,-60,60,-2.0,2.0,-2.0,2.0,100,180,70,180,,,70,180,70,180,,,4.0,4.2,,3.8,-60,60,-60,60,-60,60,-60,60,,,,
cWS,G-U,70,5,-25,65,-60,60,120,-120,-25,65,-60,60,120,-120,115,180,-60,60,-60,60,-2.0,2.0,-2.0,2.0,100,180,70,180,,,70,180,100,180,,,4.0,4.2,,3.8,-60,60,-60,60,-60,60,-60,60,,,,
cWS,U-A,98,5,-65,25,-60,60,120,-120,-65,25,-60,60,120,-120,115,180,-60,60,-60,60,-2.0,2.0,-2.0,2.0,70,180,100,180,70,180,50,130,70,180,40,140,4.2,4.2,4.8,3.8,-60,60,-60,60,-60,60,-60,60,-90,50,-90,50
cWS,U-C,2,5,-65,25,-60,60,120,-120,-65,25,-60,60,120,-120,115,180,-60,60,-60,60,-2.0,2.0,-2.0,2.0,100,180,70,180,,,70,180,70,180,,,4.2,4.4,,3.8,-60,60,-60,60,-80,40,-80,40,,,,
cWS,U-G,62,5,-65,25,-60,60,120,-120,-65,25,-60,60,120,-120,115,180,-60,60,-60,60,-2.0,2.0,-2.0,2.0,70,180,100,180,,,70,180,70,180,,,4.0,4.4,,3.8,-60,60,-60,60,-60,60,-40,80,,,,
cWS,U-U,17,5,-65,25,-60,60,120,-120,-65,25,-60,60,120,-120,115,180,-60,60,-60,60,-2.0,2.0,-2.0,2.0,100,180,70,180,,,70,180,70,180,,,4.2,4.8,,3.8,-60,60,-60,60,-80,40,-80,40,,,,
tWS,A-A,39,6,55,145,-45,45,-60,60,-145,-55,-45,45,-60,60,0,65,-60,60,-60,60,-2.0,2.0,-2.0,2.0,100,180,70,180,,,70,180,50,130,,,4.2,4.8,,3.8,-60,60,-60,60,-60,60,-80,40,,,,
tWS,A-C,6,6,75,165,-45,45,-60,60,-165,-75,-45,45,-60,60,0,65,-60,60,-60,60,-2.0,2.0,-2.0,2.0,70,180,100,180,,,100,180,100,180,,,4.2,4.2,,3.8,-60,60,-60,60,-60,60,-60,60,,,,
tWS,A-G,632,6,65,155,-45,45,-60,60,-155,-65,-45,45,-60,60,0,65,-60,60,-60,60,-2.0,2.0,-2.0,2.0,70,180,70,180,,,70,180,70,180,,,4.2,4.2,,3.8,-60,60,-60,60,-60,60,-60,60,,,,
